188 314 22;
1650285 388 334 22;
1650308 387 340 23;
1650330 387 322 22;
165033;
1650219 389 327 23;
1650241 388 330 22;
1650263 388 314 22;
1650285 388 334 22;
1650308 387 340 23;
1650330 387 322 22;
16503&?'????1899 396 252 23;
1651922 396 262 23;
1651947 396 272 25;
1651970 396 278 23;
1651992 397 297 22;
1652016 397 316 24;
1652038 397 343 22;
1652061 397 359 23;
1652083 397 335 22;
1652106 397 336 23;
1652130 397 336 24;
1652173 397 495 43;
1652196 396 343 23;
1652218 396 341 22;
1652241 396 336 23;
1652262 396 337 21;
1652285 395 361 23;
1652307 395 264 22;
1652330 395 232 23;
1652353 395 223 23;
1652374 394 232 21;
1652397 394 242 23;
1652419 394 247 22;
1652442 393 271 23;
1652464 393 292 22;
1652487 393 290 23;
1652508 393 288 21;
1652531 392 294 23;
1652553 392 283 22;
1652576 392 301 23;
1652598 392 310 22;
1652621 392 310 23;
1652663 392 537 42;
1652685 392 336 22;
1652708 393 325 23;
1652729 393 328 21;
1652752 393 329 23;
1652774 393 316 22;
1652797 394 297 23;
1652819 394 287 22;
1652841 394 294 22;
1652864 395 313 23;
1652886 395 326 22;
1652909 395 330 23;
1652931 395 334 22;
1652954 396 357 23;
1652975 396 336 21;
1652998 396 355 23;
1653020 396 336 22;
1653043 397 374 23;
1653065 397 343 22;
1653087 397 316 22;
1653109 398 316 22;
1653152 398 527 43;
1653174 399 351 22;
1653196 399 336 22;
1653219 399 320 23;
1653241 400 325 22;
1653264 400 335 23;
1653286 400 342 22;
1653308 401 355 22;
1653330 401 353 22;
1653353 401 361 23;
1653376 402 371 23;
1653398 402 367 22;
1653420 402 375 22;
1653442 403 379 22;
1653465 403 386 23;
1653487 404 387 22;
1653510 404 369 23;
1653532 404 339 22;
1653554 405 332 22;
1653576 405 340 22;
1653599 405 442 23;
1653621 405 442 22;
1653663 405 536 42;
1653686 405 346 23;
1653708 405 330 22;
1653731 405 331 23;
1653752 404 339 21;
1653775 404 351 23;
1653797 404 340 22;
1653820 404 356 23;
1653842 404 345 22;
1653864 403 332 22;
1653886 403 335 22;
1653909 403 378 23;
