timeDeltas	HMD	RightTracker	LeftTracker
27	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,000 0,000 0,000 0,000 0,000 0,000 1,000
98	0,263 1,669 0,483 -0,094 -0,084 -0,012 0,992	0,518 1,338 0,698 0,583 0,145 -0,282 0,748	0,217 1,311 0,552 0,280 -0,668 0,672 0,152
796	0,275 1,666 0,489 -0,081 -0,077 -0,034 0,993	0,518 1,316 0,648 0,653 0,158 -0,234 0,703	0,214 1,311 0,517 0,331 -0,682 0,632 0,165
846	0,266 1,652 0,514 -0,026 -0,079 -0,015 0,996	0,469 1,313 0,636 0,590 -0,218 0,140 0,764	0,214 1,309 0,488 0,369 -0,632 0,649 0,210
857	0,264 1,651 0,516 -0,026 -0,079 -0,013 0,996	0,471 1,308 0,618 0,619 -0,226 0,165 0,734	0,219 1,310 0,474 0,380 -0,652 0,627 0,191
868	0,264 1,651 0,516 -0,026 -0,079 -0,013 0,996	0,471 1,308 0,618 0,619 -0,226 0,165 0,734	0,219 1,310 0,474 0,380 -0,652 0,627 0,191
877	0,264 1,651 0,516 -0,026 -0,079 -0,013 0,996	0,471 1,308 0,618 0,619 -0,226 0,165 0,734	0,219 1,310 0,474 0,380 -0,652 0,627 0,191
890	0,263 1,649 0,519 -0,019 -0,080 -0,012 0,997	0,472 1,304 0,595 0,651 -0,256 0,173 0,693	0,218 1,311 0,468 0,374 -0,668 0,615 0,187
901	0,263 1,649 0,519 -0,019 -0,080 -0,012 0,997	0,472 1,304 0,595 0,651 -0,256 0,173 0,693	0,218 1,311 0,468 0,374 -0,668 0,615 0,187
907	0,263 1,649 0,519 -0,019 -0,080 -0,012 0,997	0,472 1,304 0,595 0,651 -0,256 0,173 0,693	0,218 1,311 0,468 0,374 -0,668 0,615 0,187
941	0,263 1,649 0,519 -0,019 -0,080 -0,012 0,997	0,472 1,304 0,595 0,651 -0,256 0,173 0,693	0,218 1,311 0,468 0,374 -0,668 0,615 0,187
948	0,264 1,648 0,520 -0,018 -0,080 -0,014 0,997	0,473 1,303 0,573 0,666 -0,291 0,173 0,665	0,208 1,308 0,465 0,359 -0,680 0,609 0,195
